last_name, first_name,player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
Seager, Kyle,572122,SEA,FF,4-Seamer,-1.1,-4,345,35.8,109,0.184,0.414,0.314,10.4,6.4,8,0.257,0.555,0.398,47.6
Story, Trevor,596115,COL,FF,4-Seamer,-0.4,-1,405,39.1,105,0.264,0.418,0.356,22.7,26.7,24.3,0.24,0.368,0.318,44.4
Biggio, Cavan,624415,TOR,FF,4-Seamer,-0.4,-2,442,39.7,102,0.157,0.337,0.298,17.5,25.5,22.6,0.145,0.289,0.277,29.8
Crawford, J.P.,641487,SEA,FF,4-Seamer,-0.1,0,398,42.6,101,0.28,0.354,0.36,10.3,9.9,9.3,0.306,0.417,0.379,19.2
Betts, Mookie,605141,LAD,FF,4-Seamer,2.3,8,337,36.2,99,0.31,0.609,0.444,6.3,12.1,12.4,0.309,0.57,0.409,53.3
Bellinger, Cody,641355,LAD,FF,4-Seamer,0.1,0,375,38.8,98,0.25,0.398,0.321,26,17.3,16.5,0.284,0.473,0.361,43.7
Canha, Mark,592192,OAK,FF,4-Seamer,0.2,1,354,33.3,95,0.274,0.521,0.412,22.6,20,16.4,0.26,0.481,0.394,47.3
Hernandez, Cesar,514917,CLE,FF,4-Seamer,0,0,412,38.3,94,0.272,0.407,0.345,10.4,16,14.6,0.27,0.358,0.328,31.3
Olson, Matt,621566,OAK,FF,4-Seamer,0.5,2,387,38.6,94,0.184,0.421,0.357,43.4,33,30.7,0.224,0.407,0.349,44.4
Blackmon, Charlie,453568,COL,FF,4-Seamer,1,4,373,41.2,94,0.353,0.529,0.399,18.1,18.1,17.9,0.291,0.495,0.361,36.6
Nimmo, Brandon,607043,NYM,FF,4-Seamer,1.6,7,418,42.7,92,0.288,0.575,0.432,21.5,23.9,17.5,0.248,0.439,0.376,39.2
Ramírez, José,608070,CLE,FF,4-Seamer,1.8,6,354,30.9,92,0.267,0.68,0.44,15.7,16.3,12.7,0.248,0.603,0.406,45.9
Bradley Jr., Jackie,598265,BOS,FF,4-Seamer,4.5,14,317,37.9,92,0.44,0.68,0.522,20.1,10.9,13.7,0.337,0.545,0.436,53.8
McCutchen, Andrew,457705,PHI,FF,4-Seamer,1.3,4,294,30.2,91,0.309,0.593,0.416,16.1,16.5,20.3,0.318,0.638,0.431,54.5
Calhoun, Kole,594777,ARI,FF,4-Seamer,-1.2,-4,353,39.2,90,0.179,0.397,0.297,26.1,15.6,15.9,0.27,0.436,0.339,34.8
Candelario, Jeimer,600869,DET,FF,4-Seamer,3.7,11,306,36.3,89,0.368,0.553,0.452,22.2,15.7,14,0.295,0.501,0.39,45.2
Muncy, Max,571970,LAD,FF,4-Seamer,1.7,6,373,33.9,89,0.229,0.671,0.439,17.3,22.5,19,0.283,0.743,0.479,54
Lindor, Francisco,596019,CLE,FF,4-Seamer,-0.1,0,368,32.9,87,0.256,0.487,0.339,16.6,16.1,11.7,0.288,0.509,0.365,43.9
Suárez, Eugenio,553993,CIN,FF,4-Seamer,1.2,4,358,35.8,87,0.211,0.535,0.38,25,25.3,20.4,0.224,0.526,0.381,46.9
Votto, Joey,458015,CIN,FF,4-Seamer,0.7,2,315,34.1,86,0.229,0.614,0.412,23.6,20.9,20.9,0.25,0.554,0.4,46.2
Semien, Marcus,543760,OAK,FF,4-Seamer,-0.9,-3,322,32.7,86,0.25,0.395,0.347,20.5,17.4,16.1,0.253,0.438,0.339,39.3
Merrifield, Whit,593160,KC,FF,4-Seamer,1.3,4,336,33.7,86,0.364,0.571,0.436,10.1,4.7,5,0.38,0.56,0.424,35.1
Yastrzemski, Mike,573262,SF,FF,4-Seamer,1.8,7,401,42.7,86,0.269,0.582,0.452,23.6,19.8,16,0.212,0.461,0.373,46
Lewis, Kyle,641786,SEA,FF,4-Seamer,0.6,2,361,36.8,86,0.224,0.507,0.376,34.5,30.2,27.1,0.238,0.522,0.396,46.5
Tatis Jr., Fernando,665487,SD,FF,4-Seamer,1.8,6,321,32.5,85,0.274,0.521,0.379,23.8,27.1,25,0.283,0.543,0.398,68.6
Flores, Wilmer,527038,SF,FF,4-Seamer,0.9,3,325,36.4,85,0.321,0.641,0.421,15.3,15.3,12.4,0.285,0.568,0.375,36.4
Reddick, Josh,502210,HOU,FF,4-Seamer,0,0,318,38,84,0.233,0.37,0.317,17.9,23.8,21.1,0.232,0.338,0.304,34
Gregorius, Didi,544369,PHI,FF,4-Seamer,-1.1,-4,322,35.7,84,0.234,0.39,0.298,17.5,13.1,9.4,0.231,0.344,0.281,31.3
Trout, Mike,545361,LAA,FF,4-Seamer,1.7,7,405,39.6,83,0.299,0.567,0.425,12.3,18.1,11.1,0.28,0.587,0.43,55.6
Mondesi, Adalberto,609275,KC,FF,4-Seamer,-1.2,-3,284,33.5,83,0.224,0.447,0.33,36.4,27.7,28.7,0.225,0.442,0.307,50.9
White, Evan,657108,SEA,FF,4-Seamer,-1.1,-4,332,40.1,83,0.205,0.411,0.313,31.6,38.6,33,0.213,0.427,0.321,63.4
Bogaerts, Xander,593428,BOS,FF,4-Seamer,2.7,8,308,31.9,82,0.394,0.732,0.499,16.4,12.2,11.9,0.344,0.66,0.451,45.2
Happ, Ian,664023,CHC,FF,4-Seamer,-0.7,-2,336,35.7,82,0.232,0.449,0.352,31.7,25.6,23.1,0.237,0.452,0.354,50
Machado, Manny,592518,SD,FF,4-Seamer,1.4,5,339,36.2,82,0.296,0.676,0.418,14.4,11,11.1,0.357,0.731,0.474,53.8
Belt, Brandon,474832,SF,FF,4-Seamer,2.3,7,310,45.2,82,0.333,0.635,0.476,19.2,15.9,15.5,0.28,0.642,0.455,48
Escobar, Eduardo,500871,ARI,FF,4-Seamer,-2.6,-9,353,43.5,82,0.154,0.269,0.205,18.3,13.4,11.2,0.301,0.519,0.365,35.8
Walker, Christian,572233,ARI,FF,4-Seamer,-2.3,-8,356,37,82,0.211,0.237,0.235,25.8,24.4,18,0.221,0.325,0.267,51.8
Grandal, Yasmani,518735,CWS,FF,4-Seamer,1.7,5,296,34.4,81,0.297,0.703,0.467,24.5,23.5,28.4,0.252,0.577,0.417,43.5
Peralta, David,444482,ARI,FF,4-Seamer,1.8,5,299,36.4,81,0.362,0.478,0.408,13.8,14.8,15.6,0.302,0.449,0.375,37.9
Arenado, Nolan,571448,COL,FF,4-Seamer,-0.7,-2,263,38.5,81,0.303,0.553,0.386,9.6,4.9,7.7,0.259,0.449,0.315,34.2
Schwarber, Kyle,656941,CHC,FF,4-Seamer,-0.7,-2,340,35.6,80,0.206,0.476,0.384,25.2,26.3,22.6,0.221,0.467,0.374,61.9
Grossman, Robbie,543257,OAK,FF,4-Seamer,1.2,4,310,41.3,80,0.269,0.612,0.432,8.3,12.5,12.8,0.292,0.552,0.411,40.4
Turner, Trea,607208,WSH,FF,4-Seamer,0.7,2,333,32.2,80,0.286,0.529,0.4,13.3,16.3,14.4,0.303,0.522,0.392,52.6
Tucker, Kyle,663656,HOU,FF,4-Seamer,5.6,14,258,29.9,80,0.361,0.75,0.511,12.5,8.8,9.7,0.309,0.605,0.414,50.8
Guerrero Jr., Vladimir,665489,TOR,FF,4-Seamer,-0.1,0,297,32.7,79,0.254,0.465,0.356,14.9,10.1,10.3,0.29,0.549,0.387,58.7
Altuve, Jose,514888,HOU,FF,4-Seamer,-1.4,-3,223,29.3,79,0.208,0.375,0.299,8.8,11.4,14.1,0.251,0.428,0.324,34.9
Freeman, Freddie,518692,ATL,FF,4-Seamer,6.6,19,292,28.6,79,0.471,0.941,0.62,12.2,5.1,5.6,0.45,0.914,0.587,62.5
Frazier, Adam,624428,PIT,FF,4-Seamer,2,6,323,36.5,78,0.286,0.524,0.42,14.9,12.8,11,0.282,0.49,0.396,33.3
Bell, Josh,605137,PIT,FF,4-Seamer,0.7,2,279,32.6,78,0.265,0.5,0.366,33.1,28.2,29.7,0.28,0.546,0.379,50
Davis, J.D.,605204,NYM,FF,4-Seamer,0.8,3,356,37.4,78,0.295,0.541,0.439,30.9,23.1,15.9,0.302,0.529,0.435,48.8
Wong, Kolten,543939,STL,FF,4-Seamer,-1.4,-5,326,38.4,78,0.284,0.358,0.327,9,11.5,10.3,0.25,0.336,0.304,26.7
Santana, Carlos,467793,CLE,FF,4-Seamer,1.3,4,324,28.9,78,0.286,0.508,0.408,17.1,12.8,11.9,0.269,0.526,0.404,41.5
Hampson, Garrett,641658,COL,FF,4-Seamer,0.5,2,339,43.9,78,0.288,0.561,0.402,21.5,26.9,22.6,0.258,0.532,0.378,36.2
Aguilar, Jesús,542583,MIA,FF,4-Seamer,2.2,7,333,37.8,77,0.371,0.742,0.507,13.8,11.7,10.7,0.307,0.654,0.438,45.5
Franco, Maikel,596748,KC,FF,4-Seamer,1.1,3,263,27.9,77,0.3,0.514,0.394,5.8,7.8,8.2,0.258,0.44,0.334,43.1
Hiura, Keston,669374,MIL,FF,4-Seamer,2.3,8,342,34.5,77,0.235,0.588,0.386,46,40.3,29.2,0.249,0.656,0.407,63.2
Harper, Bryce,547180,PHI,FF,4-Seamer,2.6,8,327,33.6,77,0.293,0.793,0.508,26.7,19.5,14.4,0.327,0.866,0.54,69.8
Contreras, Willson,575929,CHC,FF,4-Seamer,1,3,303,34.8,77,0.242,0.387,0.347,23.4,19.5,15.6,0.279,0.481,0.383,53.1
Profar, Jurickson,595777,SD,FF,4-Seamer,0,0,317,37.9,77,0.299,0.463,0.375,11.4,10.4,7.9,0.308,0.442,0.357,29.5
Gurriel, Yuli,493329,HOU,FF,4-Seamer,-1.2,-3,278,35.2,76,0.232,0.42,0.33,15.2,15.8,16.2,0.271,0.443,0.337,34.5
Pillar, Kevin,607680,COL,FF,4-Seamer,2,5,274,33.1,76,0.324,0.529,0.4,18.2,17.1,15.7,0.307,0.537,0.394,43.6
Springer, George,543807,HOU,FF,4-Seamer,2,6,285,34.7,76,0.295,0.738,0.484,21.5,11.8,12.7,0.332,0.743,0.487,52.8
Moncada, Yoán,660162,CWS,FF,4-Seamer,2.7,9,315,32.1,75,0.317,0.683,0.465,18.8,24,18.6,0.263,0.485,0.384,32.6
Seager, Corey,608369,LAD,FF,4-Seamer,0.9,2,267,33.1,75,0.343,0.687,0.462,16.2,9.3,9.6,0.348,0.764,0.487,61.7
Marte, Ketel,606466,ARI,FF,4-Seamer,0.8,2,265,38.1,75,0.338,0.521,0.393,8.5,9.3,11.7,0.265,0.398,0.297,51.5
Yelich, Christian,592885,MIL,FF,4-Seamer,2.4,8,352,32,75,0.321,0.714,0.5,26.7,22.7,21.8,0.32,0.69,0.49,66.7
Cabrera, Miguel,408234,DET,FF,4-Seamer,2,6,311,34.2,75,0.313,0.547,0.406,24.1,18.7,14.1,0.349,0.64,0.449,51
Rizzo, Anthony,519203,CHC,FF,4-Seamer,-1.4,-5,353,35.8,74,0.203,0.322,0.313,20,13.5,11.4,0.251,0.389,0.351,32
Goldschmidt, Paul,502671,STL,FF,4-Seamer,1.7,5,297,30.4,74,0.359,0.672,0.472,18.9,17.6,16,0.34,0.741,0.482,54.9
Tapia, Raimel,606132,COL,FF,4-Seamer,0.7,3,360,44.7,74,0.397,0.444,0.431,17.1,17.6,14.1,0.254,0.3,0.307,37.3
Gallo, Joey,608336,TEX,FF,4-Seamer,-1.9,-6,323,33.8,74,0.143,0.365,0.282,34.3,32.4,25.3,0.201,0.489,0.346,66.7
Cabrera, Asdrúbal,452678,WSH,FF,4-Seamer,1.8,5,283,33.3,74,0.277,0.569,0.387,15.5,17.6,15.9,0.25,0.501,0.355,43.4
Kiner-Falefa, Isiah,643396,TEX,FF,4-Seamer,-0.2,0,280,35,74,0.323,0.419,0.376,10.9,14.9,16.7,0.32,0.444,0.385,44.2
Verdugo, Alex,657077,BOS,FF,4-Seamer,1,3,356,38.6,73,0.387,0.581,0.472,21.9,16.4,13.6,0.253,0.391,0.34,38
Polanco, Jorge,593871,MIN,FF,4-Seamer,1.4,4,278,30.9,73,0.313,0.493,0.367,8.4,4.1,4.2,0.316,0.47,0.358,34.8
Edman, Tommy,669242,STL,FF,4-Seamer,0.3,1,292,33.3,73,0.234,0.438,0.336,17.6,19.2,19.4,0.27,0.421,0.345,36
Swanson, Dansby,621020,ATL,FF,4-Seamer,1.8,5,285,26.9,73,0.339,0.661,0.464,28.2,17.8,17.8,0.318,0.677,0.458,46.9
Longoria, Evan,446334,SF,FF,4-Seamer,1.4,4,276,34.8,73,0.377,0.623,0.443,13.3,11,13.3,0.37,0.792,0.511,66.1
Taylor, Chris,621035,LAD,FF,4-Seamer,3.6,10,268,31.2,73,0.356,0.61,0.488,24.4,16.4,15,0.327,0.622,0.453,45.8
Martinez, J.D.,502110,BOS,FF,4-Seamer,-1,-3,317,35.3,73,0.194,0.452,0.338,21.8,21.9,20,0.229,0.541,0.357,47.9
Grisham, Trent,663757,SD,FF,4-Seamer,0.2,1,404,38.5,73,0.267,0.533,0.401,20.4,23.3,17,0.283,0.573,0.418,44.2
Villar, Jonathan,542340,TOR,FF,4-Seamer,-1.5,-4,285,35.4,73,0.242,0.258,0.269,27.8,24.7,19.8,0.213,0.245,0.251,33.3
Myers, Wil,571976,SD,FF,4-Seamer,2.5,7,267,31.7,73,0.25,0.578,0.4,19.5,24.7,24.7,0.28,0.643,0.421,56.5
Devers, Rafael,646240,BOS,FF,4-Seamer,-1.8,-7,393,40.1,72,0.179,0.343,0.254,44.3,48.6,25.4,0.16,0.324,0.236,46.9
Solak, Nick,669256,TEX,FF,4-Seamer,-1.1,-3,295,33,72,0.194,0.339,0.295,10.7,12.5,9.4,0.282,0.54,0.385,44.4
Ozuna, Marcell,542303,ATL,FF,4-Seamer,6.6,17,265,24.7,72,0.492,0.932,0.62,21.8,19.4,18.7,0.418,0.876,0.568,77.8
Marte, Starling,516782,MIA,FF,4-Seamer,0.4,1,284,30.1,72,0.317,0.587,0.422,17.9,11.1,9.9,0.285,0.555,0.397,32.7
García, Avisaíl,541645,MIL,FF,4-Seamer,0.2,1,287,39.6,71,0.283,0.367,0.349,32.2,29.6,26.6,0.284,0.403,0.358,56.4
La Stella, Tommy,600303,OAK,FF,4-Seamer,-0.6,-2,317,33.7,71,0.3,0.45,0.381,6.3,5.6,4.9,0.244,0.414,0.344,33.9
Crawford, Brandon,543063,SF,FF,4-Seamer,-0.9,-3,268,36.6,71,0.246,0.377,0.31,25.2,23.9,19.8,0.214,0.324,0.287,37
Akiyama, Shogo,673451,CIN,FF,4-Seamer,0.9,3,330,40.2,71,0.278,0.315,0.368,14.8,11.3,7.7,0.265,0.351,0.37,26.1
Báez, Javier,595879,CHC,SL,Slider,-1.1,-3,272,29.9,71,0.164,0.313,0.242,40,28.2,23.8,0.183,0.346,0.251,29.8
Polanco, Gregory,570256,PIT,FF,4-Seamer,-3,-9,295,39.1,70,0.138,0.215,0.181,43,40,25.7,0.18,0.278,0.224,50
Rendon, Anthony,543685,LAA,FF,4-Seamer,-1.1,-3,294,33.1,70,0.17,0.189,0.291,14.4,14.3,11.8,0.224,0.311,0.345,39.5
Conforto, Michael,624424,NYM,FF,4-Seamer,2.5,8,298,32,70,0.377,0.59,0.453,24.1,21.4,17.6,0.331,0.551,0.419,32.6
Reyes, Franmil,614177,CLE,FF,4-Seamer,2.3,6,274,27.9,70,0.3,0.6,0.418,26.7,18.6,15.3,0.304,0.658,0.439,53.1
Reyes, Victor,622682,DET,FF,4-Seamer,0.9,3,319,39.4,70,0.308,0.369,0.351,27.8,22.9,16,0.295,0.429,0.349,36.7
Robert, Luis,673357,CWS,FF,4-Seamer,-1.7,-5,296,33.6,69,0.169,0.288,0.269,43.8,37.7,26.3,0.186,0.421,0.316,57.6
Robles, Victor,645302,WSH,FF,4-Seamer,-2.4,-6,269,35.6,69,0.203,0.254,0.274,24.6,30.4,24.1,0.179,0.268,0.266,21.1
Alonso, Pete,624413,NYM,FF,4-Seamer,1.8,5,295,31.8,69,0.242,0.71,0.42,22.4,26.1,20.9,0.245,0.624,0.393,50
Anderson, Brian,605119,MIA,FF,4-Seamer,2.5,7,282,31.8,69,0.268,0.518,0.414,30.1,33.3,27.7,0.209,0.444,0.351,57.6
Abreu, José,547989,CWS,SL,Slider,0.9,2,250,24.3,68,0.254,0.349,0.308,46.9,33.8,27.4,0.225,0.356,0.281,42.5
Cabrera, Miguel,408234,DET,SL,Slider,-0.3,-1,253,27.8,68,0.161,0.323,0.238,51.2,32.4,27.5,0.238,0.467,0.331,39
Fletcher, David,664058,LAA,FF,4-Seamer,-0.5,-2,321,35.4,68,0.339,0.446,0.386,5.8,13.2,14.1,0.293,0.354,0.337,8.2
Reynolds, Bryan,668804,PIT,FF,4-Seamer,1.1,3,264,30.6,68,0.241,0.517,0.374,26.2,26.5,20.2,0.287,0.614,0.423,55
Robert, Luis,673357,CWS,SL,Slider,3.3,8,240,27.2,67,0.277,0.677,0.393,51.3,40.3,28.7,0.232,0.59,0.35,35.9
Goodwin, Brian,571718,CIN,FF,4-Seamer,-1,-2,237,34.8,67,0.211,0.474,0.35,25.2,28.4,28.4,0.205,0.429,0.328,48.7
McNeil, Jeff,643446,NYM,FF,4-Seamer,-0.8,-2,280,34.8,67,0.31,0.466,0.363,19.9,13.4,12,0.25,0.375,0.32,29.4
Hicks, Aaron,543305,NYY,FF,4-Seamer,1.7,5,273,29.7,67,0.204,0.51,0.403,23.3,11.9,10.7,0.271,0.538,0.436,46.3
Rosario, Eddie,592696,MIN,FF,4-Seamer,-0.2,-1,278,33.6,66,0.207,0.448,0.315,26.8,18.2,20.3,0.206,0.41,0.3,40.4
Turner, Justin,457759,LAD,FF,4-Seamer,-0.2,-1,250,36.7,66,0.241,0.37,0.342,20.4,18.2,16.2,0.267,0.499,0.389,45.2
McMahon, Ryan,641857,COL,FF,4-Seamer,3.1,11,352,41.9,66,0.328,0.724,0.485,23.2,28.8,19.2,0.304,0.682,0.442,66.7
Lowe, Brandon,664040,TB,FF,4-Seamer,3.7,9,239,27.1,66,0.278,0.685,0.452,26.4,24.2,21.6,0.254,0.693,0.442,63.2
Pollock, AJ,572041,LAD,FF,4-Seamer,3.1,7,230,30.8,66,0.385,0.815,0.506,18.9,12.1,12.7,0.338,0.672,0.428,54.4
Reyes, Franmil,614177,CLE,SL,Slider,-1.8,-5,269,27.4,66,0.161,0.304,0.252,60.2,43.9,35.4,0.155,0.324,0.29,48.3
Núñez, Renato,600524,BAL,FF,4-Seamer,2.4,6,257,28.8,65,0.296,0.648,0.446,36.5,30.8,21.3,0.245,0.511,0.381,50
Jiménez, Eloy,650391,CWS,SL,Slider,0.5,1,250,31.1,65,0.226,0.5,0.311,39.6,30.8,21.7,0.227,0.463,0.31,51.2
Ahmed, Nick,605113,ARI,FF,4-Seamer,-1.6,-4,272,32.7,65,0.228,0.333,0.299,23.4,23.1,20.5,0.198,0.314,0.277,40.5
Cronenworth, Jake,630105,SD,FF,4-Seamer,1,3,288,38.2,65,0.345,0.569,0.438,9.1,12.3,10.7,0.338,0.576,0.419,54
Voit, Luke,572228,NYY,FF,4-Seamer,2.3,6,271,29.8,65,0.263,0.807,0.472,20.1,26.2,19.8,0.277,0.73,0.439,48.8
DeJong, Paul,657557,STL,FF,4-Seamer,-0.9,-2,234,34.3,65,0.255,0.309,0.308,28.6,27.7,26.9,0.198,0.352,0.294,39.5
Alberto, Hanser,593643,BAL,FF,4-Seamer,-1,-2,227,29.9,65,0.283,0.417,0.316,15.6,7.7,9.1,0.243,0.315,0.259,21.1
Jiménez, Eloy,650391,CWS,FF,4-Seamer,5.5,12,209,26,64,0.356,0.78,0.505,20.3,23.4,28.8,0.348,0.734,0.47,68.2
Anderson, Tim,641313,CWS,SL,Slider,0.2,0,183,23.3,64,0.27,0.54,0.346,32,26.6,26.2,0.234,0.397,0.275,21.7
Solano, Donovan,456781,SF,FF,4-Seamer,-1.2,-3,262,35.1,64,0.263,0.333,0.298,17.8,20.3,17.8,0.25,0.378,0.305,42.2
Moran, Colin,592567,PIT,FF,4-Seamer,-0.4,-1,289,35.7,64,0.246,0.561,0.376,27.3,35.9,24,0.234,0.559,0.368,55.9
Severino, Pedro,600474,BAL,FF,4-Seamer,4.1,8,193,26,63,0.364,0.673,0.484,14.9,15.9,16.1,0.353,0.701,0.469,43.5
Ruiz, Rio,547004,BAL,FF,4-Seamer,0,0,240,30.5,63,0.271,0.441,0.344,23.1,23.8,22.4,0.221,0.339,0.268,50
Dubón, Mauricio,643289,SF,FF,4-Seamer,0.5,1,258,37.9,63,0.286,0.531,0.409,21.1,17.5,13.3,0.295,0.52,0.411,47.5
Swanson, Dansby,621020,ATL,SIFT,Sinker,2.9,7,237,22.4,63,0.321,0.5,0.435,22.7,25.4,28.1,0.323,0.534,0.401,50
LeMahieu, DJ,518934,NYY,FF,4-Seamer,2,6,305,36.8,62,0.418,0.709,0.506,10.3,16.1,12.2,0.394,0.567,0.445,71.1
Realmuto, J.T.,592663,PHI,FF,4-Seamer,-0.2,0,221,29.8,62,0.286,0.571,0.432,34.2,25.8,21.9,0.247,0.57,0.413,45.5
Berti, Jon,542932,MIA,FF,4-Seamer,1.1,3,240,41,62,0.31,0.429,0.469,18.8,21,17.6,0.264,0.359,0.404,30
Kepler, Max,596146,MIN,FF,4-Seamer,1.1,3,252,32.7,62,0.294,0.608,0.425,16.5,21,19.7,0.289,0.55,0.406,46.2
Bregman, Alex,608324,HOU,FF,4-Seamer,-0.1,0,247,33.6,62,0.28,0.54,0.402,7.1,12.9,14,0.273,0.44,0.372,39.5
Hoskins, Rhys,656555,PHI,FF,4-Seamer,0.4,1,250,32.5,62,0.174,0.326,0.367,27.1,24.2,18.8,0.181,0.412,0.361,35.5
Sánchez, Gary,596142,NYY,FF,4-Seamer,0.3,1,241,31.1,61,0.154,0.481,0.323,45,45.9,32.9,0.187,0.495,0.341,66.7
Ozuna, Marcell,542303,ATL,SIFT,Sinker,0.8,2,224,20.9,61,0.321,0.625,0.424,11.3,6.6,8.5,0.339,0.62,0.429,50
Tsutsugo, Yoshi,660294,TB,FF,4-Seamer,-0.9,-3,324,38.3,61,0.16,0.3,0.286,27.5,41,23.8,0.173,0.317,0.297,60
Merrifield, Whit,593160,KC,SL,Slider,-0.2,0,237,23.8,61,0.183,0.233,0.206,24.3,24.6,17,0.151,0.195,0.161,15.6
Castellanos, Nick,592206,CIN,SL,Slider,-0.4,-1,260,26.9,61,0.224,0.5,0.321,47,42.6,28,0.238,0.482,0.32,46.9
Upton, Justin,457708,LAA,FF,4-Seamer,-1.1,-2,193,28.3,61,0.214,0.482,0.324,24,21.3,22.4,0.239,0.467,0.33,51.2
Heyward, Jason,518792,CHC,FF,4-Seamer,-0.2,-1,306,37.8,61,0.271,0.458,0.394,19.6,16.4,13.7,0.348,0.607,0.467,47.4
Arcia, Orlando,606115,MIL,FF,4-Seamer,-0.6,-1,216,30.7,60,0.236,0.455,0.325,22.5,23.3,25,0.265,0.509,0.355,41.5
Sanó, Miguel,593934,MIN,SL,Slider,-2.9,-7,230,26.5,60,0.158,0.404,0.255,49.2,51.7,29.2,0.176,0.416,0.268,53.8
Abreu, José,547989,CWS,FF,4-Seamer,1.4,5,330,32.1,60,0.345,0.655,0.434,19.3,16.7,10.4,0.337,0.674,0.449,58.7
Dozier, Hunter,641531,KC,FF,4-Seamer,1.4,3,217,29.9,60,0.288,0.596,0.43,18.6,26.7,24.6,0.268,0.537,0.386,44.4
Moore, Dylan,664238,SEA,FF,4-Seamer,3.1,7,236,36,59,0.348,0.848,0.555,23.5,16.9,14.1,0.308,0.743,0.489,58.3
Encarnación, Edwin,429665,CWS,SL,Slider,-2.2,-5,225,28.4,59,0.125,0.321,0.214,35.2,42.4,22.5,0.095,0.211,0.166,37.5
Dickerson, Alex,543105,SF,FF,4-Seamer,2,5,244,40.2,59,0.269,0.596,0.416,22.7,20.3,20.7,0.219,0.418,0.319,47.5
Shaw, Travis,543768,TOR,FF,4-Seamer,-2.2,-5,242,34.1,59,0.185,0.315,0.254,36.4,35.6,28.8,0.156,0.331,0.245,33.3
Ohtani, Shohei,660271,LAA,FF,4-Seamer,-1,-2,236,31.9,59,0.146,0.354,0.314,31,30.5,23.1,0.234,0.526,0.388,73.3
Goodrum, Niko,592348,DET,FF,4-Seamer,0.6,1,244,31.5,59,0.224,0.367,0.305,24.1,25.4,19.2,0.242,0.443,0.337,55.6
Fletcher, David,664058,LAA,SIFT,Sinker,3.4,8,229,25.3,59,0.404,0.538,0.457,2.9,3.4,5.1,0.328,0.384,0.354,29.4
Mullins, Cedric,656775,BAL,FF,4-Seamer,-0.9,-2,249,41.4,59,0.294,0.412,0.354,25.2,23.7,21.9,0.197,0.284,0.267,34.2
Panik, Joe,605412,TOR,FF,4-Seamer,-0.8,-2,227,42.4,59,0.245,0.347,0.332,11,10.2,19.4,0.276,0.434,0.369,30.2
Smith, Dominic,642086,NYM,FF,4-Seamer,2.2,6,252,33.3,59,0.333,0.815,0.469,20.5,27.1,25,0.337,0.825,0.473,67.5
Franco, Maikel,596748,KC,SL,Slider,-0.6,-1,265,28.1,59,0.259,0.37,0.286,38.6,20.3,16,0.257,0.401,0.299,25
Nola, Austin,543592,SD,FF,4-Seamer,1.4,4,266,36.5,59,0.353,0.627,0.456,18.9,25.4,20.5,0.296,0.513,0.39,44.4
Sanó, Miguel,593934,MIN,FF,4-Seamer,2,6,296,34.1,58,0.321,0.623,0.423,35.7,39.7,28,0.254,0.542,0.363,66.7
Long Jr., Shed,643418,SEA,FF,4-Seamer,-0.5,-1,209,42,58,0.245,0.388,0.339,23.3,15.5,19.1,0.25,0.451,0.358,47.5
Gurriel Jr., Lourdes,666971,TOR,FF,4-Seamer,1.6,4,258,31,58,0.302,0.528,0.399,23.3,25.9,17.9,0.282,0.474,0.353,57.9
Correa, Carlos,621043,HOU,FF,4-Seamer,-1.4,-4,253,29.1,58,0.264,0.321,0.299,18.7,22.4,15.7,0.222,0.347,0.278,58.5
Lopez, Nicky,670032,KC,FF,4-Seamer,-1.2,-3,252,33.6,58,0.229,0.313,0.309,17.4,17.2,13,0.245,0.326,0.318,30.8
Moustakas, Mike,519058,CIN,FF,4-Seamer,2.1,5,221,33.5,58,0.244,0.422,0.353,19.2,22.4,20,0.238,0.417,0.349,47.1
Laureano, Ramón,657656,OAK,FF,4-Seamer,2.1,6,266,29.7,58,0.326,0.512,0.435,16.7,27.6,25,0.205,0.287,0.328,35.7
Frazier, Todd,453943,NYM,FF,4-Seamer,-0.9,-2,254,35.5,58,0.235,0.412,0.327,26.7,22.4,21.7,0.237,0.439,0.336,44.7
Maldonado, Martín,455117,HOU,FF,4-Seamer,1.7,4,246,35.4,58,0.234,0.532,0.386,28.3,29.3,21,0.192,0.442,0.339,29
Vogelbach, Daniel,596129,MIL,FF,4-Seamer,-0.5,-1,233,37.9,57,0.204,0.429,0.326,13.8,15.8,12.9,0.29,0.574,0.41,50
Contreras, Willson,575929,CHC,SL,Slider,-0.2,0,210,24.1,57,0.212,0.346,0.292,46.5,35.1,27.8,0.188,0.359,0.285,34.4
Castellanos, Nick,592206,CIN,SIFT,Sinker,2.2,4,187,19.4,57,0.3,0.58,0.443,25,14,18.6,0.381,0.695,0.483,54.8
Carpenter, Matt,572761,STL,FF,4-Seamer,-0.2,0,219,29.8,57,0.136,0.273,0.292,22.5,22.8,16.9,0.197,0.368,0.342,35.5
Soto, Juan,665742,WSH,FF,4-Seamer,1.4,4,255,30.8,57,0.262,0.524,0.444,26.5,17.5,13.2,0.309,0.712,0.496,59.4
Gonzalez, Marwin,503556,MIN,FF,4-Seamer,-0.2,-1,237,29.6,57,0.244,0.4,0.329,15.1,21.1,17.1,0.281,0.496,0.382,55.6
