last_name, first_name,player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
Odor, Rougned,596059,TEX,SIFT,Sinker,1.3,1,77,13,20,0.176,0.588,0.333,15,15,16.7,0.289,0.773,0.44,53.3
Frazier, Adam,624428,PIT,FC,Cutter,-2.7,-2,86,9.7,20,0.111,0.111,0.16,17.9,10,8.3,0.258,0.37,0.313,18.8
Nimmo, Brandon,607043,NYM,SL,Slider,-1.2,-1,97,9.9,20,0.211,0.526,0.325,30.6,20,8.9,0.247,0.475,0.322,26.7
Renfroe, Hunter,592669,TB,CH,Changeup,-0.3,0,94,16.5,20,0.2,0.2,0.32,35.7,15,9.1,0.244,0.294,0.32,23.1
Báez, Javier,595879,CHC,CH,Changeup,-4.4,-3,65,7.2,20,0.1,0.3,0.163,41.2,30,46.2,0.238,0.431,0.284,35.7
Murphy, Daniel,502517,COL,SIFT,Sinker,0.3,0,80,16.4,20,0.278,0.278,0.295,7.7,5,5.3,0.209,0.233,0.247,23.5
Holt, Brock,571788,WSH,SIFT,Sinker,-1.7,-2,94,20.3,20,0.176,0.235,0.258,7.7,15,13,0.171,0.221,0.253,14.3
Dalbec, Bobby,666915,BOS,SL,Slider,-1.3,-1,91,23.9,20,0.2,0.2,0.215,54.3,45,36,0.213,0.4,0.293,27.3
Lowe, Brandon,664040,TB,CUKC,Curveball,1.2,1,124,14.1,20,0.353,0.647,0.465,31,15,8.8,0.323,0.498,0.408,35.7
Panik, Joe,605412,TOR,CH,Changeup,0.9,1,82,15.3,20,0.176,0.235,0.258,32.3,20,15.4,0.209,0.254,0.278,30.8
Wallach, Chad,595453,MIA,FF,4-Seamer,2.3,2,66,34.9,20,0.235,0.412,0.321,21.2,20,22.2,0.21,0.362,0.288,28.6
Hilliard, Sam,656541,COL,SL,Slider,-1.7,-1,83,16.9,20,0.111,0.278,0.215,42.1,45,30,0.154,0.276,0.236,22.2
Bradley Jr., Jackie,598265,BOS,CUKC,Curveball,-1.1,-1,106,12.7,20,0.056,0.056,0.16,30.3,25,25,0.135,0.156,0.187,7.7
Harrison, Josh,543281,WSH,SL,Slider,-2.4,-1,59,17.6,20,0.222,0.278,0.233,20.6,15,17.6,0.258,0.308,0.262,25
Anderson, Brian,605119,MIA,FC,Cutter,-2.2,-1,60,6.8,20,0.3,0.5,0.343,38.2,15,27.3,0.384,0.684,0.454,41.2
Wade, Tyler,642180,NYY,SIFT,Sinker,-3,-3,86,21.8,20,0.118,0.118,0.168,13.9,20,23.5,0.271,0.303,0.303,28.6
Castro, Willi,650489,DET,CUKC,Curveball,1.2,1,75,14,20,0.316,0.316,0.27,29.3,35,23.3,0.293,0.338,0.274,23.1
Inciarte, Ender,542255,ATL,SL,Slider,0.2,0,67,12.5,20,0.333,0.5,0.379,11.8,10,10.5,0.301,0.385,0.323,0
Wong, Kolten,543939,STL,FC,Cutter,2.7,2,60,7.1,20,0.353,0.471,0.395,15.6,0,0,0.27,0.316,0.303,22.2
White, Eli,642201,TEX,FF,4-Seamer,-2.3,-2,82,38.5,20,0.235,0.235,0.25,17.5,20,18.2,0.245,0.296,0.294,35.7
Vogelbach, Daniel,596129,MIL,CUKC,Curveball,-2,-2,110,17.9,20,0.118,0.118,0.195,35.7,30,20.7,0.157,0.18,0.233,27.3
France, Ty,664034,SEA,CH,Changeup,-2.4,-2,64,10.4,20,0.105,0.211,0.16,20.7,30,30,0.129,0.231,0.179,30.8
Plawecki, Kevin,608700,BOS,SIFT,Sinker,-1.2,-1,79,24.4,20,0.167,0.167,0.205,21.1,25,26.3,0.172,0.203,0.218,30.8
Donaldson, Josh,518626,MIN,SIFT,Sinker,1.8,1,68,15.1,20,0.313,0.688,0.475,25.9,20,23.5,0.233,0.524,0.389,58.3
Panik, Joe,605412,TOR,SL,Slider,-0.1,0,63,11.8,20,0.222,0.278,0.268,25,25,23.8,0.265,0.371,0.316,38.5
Avila, Alex,488671,MIN,FF,4-Seamer,-0.3,0,81,30.3,20,0.235,0.412,0.34,20.6,25,26.3,0.292,0.578,0.412,58.3
Narváez, Omar,553882,MIL,SL,Slider,0.3,0,87,15.7,20,0.188,0.438,0.348,30.4,25,16.7,0.176,0.473,0.35,27.3
Varsho, Daulton,662139,ARI,CH,Changeup,0,0,54,12,20,0.176,0.235,0.258,35.7,30,26.1,0.179,0.235,0.26,36.4
Gamel, Ben,592325,MIL,CH,Changeup,6.4,3,52,10.1,20,0.4,0.85,0.523,41.2,20,25,0.357,0.753,0.46,50
Buxton, Byron,621439,MIN,SIFT,Sinker,-3.6,-3,83,18.7,20,0.211,0.368,0.27,17.3,15,15,0.3,0.505,0.357,37.5
Mullins, Cedric,656775,BAL,CUKC,Curveball,-2.2,-2,77,12.8,20,0.211,0.211,0.189,32.4,50,33.3,0.136,0.152,0.13,20
Santander, Anthony,623993,BAL,FC,Cutter,-5.4,-3,61,10.4,20,0.2,0.3,0.215,22.5,15,23.1,0.245,0.368,0.261,17.6
Schoop, Jonathan,570731,DET,CUKC,Curveball,4.8,3,60,9.6,20,0.278,0.611,0.448,33.3,30,22.2,0.217,0.403,0.307,33.3
Naquin, Tyler,571980,CLE,SL,Slider,-2.6,-2,69,13.2,20,0.118,0.353,0.233,33.3,25,19.2,0.208,0.537,0.331,30.8
Ward, Taylor,621493,LAA,SIFT,Sinker,2.2,2,76,19.4,20,0.368,0.421,0.413,11.1,30,40,0.316,0.39,0.33,30.8
Gosselin, Phil,594838,PHI,SIFT,Sinker,-1.3,-1,90,21.5,20,0.294,0.588,0.42,15.6,20,20,0.303,0.477,0.388,53.8
Harrison, Josh,543281,WSH,SIFT,Sinker,11.1,7,63,18.8,20,0.632,1.158,0.758,8.3,5,9.1,0.485,0.915,0.595,33.3
Castro, Starlin,516770,WSH,SL,Slider,0.2,0,65,24.8,19,0.222,0.389,0.332,27,21.1,20,0.202,0.366,0.266,35.7
Díaz, Yandy,650490,TB,CH,Changeup,0,0,78,13.6,19,0.313,0.375,0.366,15.6,5.3,3.6,0.249,0.29,0.31,20
Gomes, Yan,543228,WSH,SL,Slider,2.8,2,67,16.5,19,0.353,0.588,0.434,41.4,31.6,28.6,0.299,0.397,0.342,54.5
Estrada, Thairo,642731,NYY,FF,4-Seamer,-2.2,-2,82,40.2,19,0.235,0.235,0.263,23.4,31.6,26.1,0.255,0.285,0.289,27.3
Stassi, Max,545358,LAA,SL,Slider,-0.9,-1,70,19.3,19,0.278,0.389,0.311,46.7,36.8,33.3,0.264,0.392,0.299,63.6
Stanton, Giancarlo,519317,NYY,SIFT,Sinker,-1.2,-1,71,17.1,19,0.125,0.188,0.271,27.3,36.8,31.8,0.186,0.201,0.256,33.3
Reyes, Franmil,614177,CLE,CH,Changeup,-1.8,-2,88,9,19,0.333,0.389,0.339,49,31.6,28.6,0.287,0.33,0.295,33.3
Ozuna, Marcell,542303,ATL,FC,Cutter,2.5,2,80,7.4,19,0.333,0.733,0.5,25.8,10.5,12.5,0.374,0.918,0.569,38.5
